<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
GAZP 60 20220420 190000 219.4700000 220.8000000 217.0000000 218.9200000 1874690
GAZP 60 20220421 110000 220.0300000 221.0000000 214.0000000 217.1900000 4894160
GAZP 60 20220421 120000 217.1800000 219.5700000 215.5000000 217.3300000 2688370
GAZP 60 20220421 130000 217.3000000 220.2900000 216.5800000 218.3200000 3320680
GAZP 60 20220421 140000 218.2200000 218.7000000 217.0300000 218.1000000 722550
GAZP 60 20220421 150000 218.1500000 218.2200000 216.4900000 217.1600000 980430
GAZP 60 20220421 160000 217.1600000 218.0000000 215.6500000 216.0700000 994370
GAZP 60 20220421 170000 216.0000000 216.4800000 214.5000000 214.9000000 1244400
GAZP 60 20220421 180000 214.9000000 215.0000000 210.8200000 211.7500000 6781250
GAZP 60 20220421 190000 211.7400000 212.2000000 210.2900000 210.2900000 2666180
GAZP 60 20220422 110000 210.5000000 215.0000000 208.0000000 213.7700000 9568730
GAZP 60 20220422 120000 213.7600000 213.9200000 210.1000000 210.3800000 3029190
GAZP 60 20220422 130000 210.3600000 210.8000000 208.3000000 209.0000000 2788980
GAZP 60 20220422 140000 209.0000000 210.9400000 207.3000000 210.2900000 2625710
GAZP 60 20220422 150000 210.5200000 211.0000000 209.0000000 210.1300000 1549550
GAZP 60 20220422 160000 210.1300000 210.1500000 207.7600000 208.9600000 2542310
GAZP 60 20220422 170000 208.9400000 209.3000000 207.0100000 208.1700000 2770860
GAZP 60 20220422 180000 208.1700000 209.4600000 207.0100000 208.0900000 2221670
GAZP 60 20220422 190000 208.1300000 208.7900000 207.5000000 208.0000000 1620940
GAZP 60 20220425 110000 209.9500000 209.9500000 204.2200000 207.6500000 5959590
GAZP 60 20220425 120000 207.6000000 208.2100000 201.1200000 202.5600000 4401540
GAZP 60 20220425 130000 202.6900000 206.0000000 202.1000000 205.8800000 2187270
GAZP 60 20220425 140000 205.7600000 206.5900000 203.5300000 204.8800000 1255120
GAZP 60 20220425 150000 204.8800000 206.1700000 204.5000000 206.1700000 859590
GAZP 60 20220425 160000 206.1600000 206.8700000 204.3900000 206.2900000 1070100
GAZP 60 20220425 170000 206.2900000 206.7600000 205.0900000 206.1700000 623590
GAZP 60 20220425 180000 206.1400000 207.5000000 205.6000000 206.0900000 1497290
GAZP 60 20220425 190000 206.0900000 206.3500000 205.1200000 206.3500000 913730
GAZP 60 20220426 110000 207.9700000 214.9800000 206.5400000 214.9000000 7232640
GAZP 60 20220426 120000 214.9000000 216.9500000 213.6000000 214.5000000 4897690
GAZP 60 20220426 130000 214.5000000 215.5000000 214.4500000 214.9800000 1852380
GAZP 60 20220426 140000 214.9800000 217.0000000 214.3000000 216.9200000 2844530
GAZP 60 20220426 150000 217.0000000 219.9000000 216.5900000 219.4900000 4371280
GAZP 60 20220426 160000 219.4900000 223.8600000 219.4500000 222.3600000 5099990
GAZP 60 20220426 170000 222.3600000 227.1000000 222.0000000 226.3600000 5403710
GAZP 60 20220426 180000 226.3600000 229.7400000 225.0000000 229.7000000 8673160
GAZP 60 20220426 190000 229.7000000 229.7400000 223.5500000 225.8500000 6109390
GAZP 60 20220427 110000 226.0400000 235.0000000 221.6100000 233.6600000 19558910
GAZP 60 20220427 120000 233.5900000 233.6700000 230.1000000 230.9300000 4205940
GAZP 60 20220427 130000 230.8900000 233.3500000 230.1800000 231.2500000 2982100
GAZP 60 20220427 140000 231.2500000 232.4800000 230.8000000 232.2800000 1972390
GAZP 60 20220427 150000 232.2800000 233.7000000 231.5100000 232.7500000 2173190
GAZP 60 20220427 160000 232.7700000 235.7000000 232.6800000 235.4900000 5945380
GAZP 60 20220427 170000 235.4800000 235.9900000 233.5900000 234.4000000 4294520
GAZP 60 20220427 180000 234.4200000 235.4000000 233.7900000 235.4000000 3057430
GAZP 60 20220427 190000 235.3900000 237.5000000 235.0200000 237.1500000 4029670
GAZP 60 20220428 110000 239.4000000 245.0000000 238.5000000 243.4100000 12150600
GAZP 60 20220428 120000 243.4900000 244.4400000 242.5000000 242.7000000 3770780
GAZP 60 20220428 130000 242.7400000 247.6900000 242.7000000 247.4800000 6995190
GAZP 60 20220428 140000 247.4600000 249.0000000 244.0000000 244.0500000 6937650
GAZP 60 20220428 150000 244.1600000 246.5000000 237.2200000 240.3000000 11503260
GAZP 60 20220428 160000 240.3000000 240.9800000 235.5000000 237.9500000 8127600
GAZP 60 20220428 170000 237.9500000 242.8300000 237.5000000 239.7900000 4557590
GAZP 60 20220428 180000 239.7800000 242.9000000 237.0000000 240.1000000 10462060
GAZP 60 20220428 190000 240.0000000 241.4700000 237.5000000 237.5300000 4384910
GAZP 60 20220429 110000 238.5800000 243.5700000 238.0000000 240.4200000 9431580
GAZP 60 20220429 120000 240.4900000 245.4300000 240.3100000 244.0200000 9868190
GAZP 60 20220429 130000 244.0200000 245.0000000 242.0000000 242.5200000 4765250
GAZP 60 20220429 140000 242.4600000 243.9500000 242.4200000 242.8000000 2537790
GAZP 60 20220429 150000 242.7500000 244.3500000 242.4800000 243.5000000 2892480
GAZP 60 20220429 160000 243.5000000 243.9100000 243.3100000 243.3500000 1695900
GAZP 60 20220429 170000 243.3600000 243.5500000 238.4000000 240.2500000 7358820
GAZP 60 20220429 180000 240.2100000 242.5000000 239.7000000 240.4200000 2392030
GAZP 60 20220429 190000 240.4600000 241.0900000 240.1000000 240.4000000 2450880
GAZP 60 20220504 110000 241.0100000 244.3900000 238.0000000 238.9000000 7012280
GAZP 60 20220504 120000 238.9500000 240.2000000 233.5000000 233.8000000 5025080
GAZP 60 20220504 130000 233.7100000 236.3000000 233.1700000 235.6300000 2159900
GAZP 60 20220504 140000 235.6300000 235.8400000 233.9000000 234.6100000 1535620
GAZP 60 20220504 150000 234.6900000 235.0000000 233.1200000 233.8600000 1461250
GAZP 60 20220504 160000 233.8600000 235.5000000 233.5500000 235.3200000 1131320
GAZP 60 20220504 170000 235.4500000 235.4700000 233.5500000 234.5000000 867530
GAZP 60 20220504 180000 234.5000000 234.7800000 234.0000000 234.1800000 662860
GAZP 60 20220504 190000 234.2500000 234.8000000 234.1600000 234.1600000 1063310
GAZP 60 20220505 110000 235.5800000 239.4000000 235.0800000 236.7300000 6496500
GAZP 60 20220505 120000 236.7300000 237.9000000 235.7000000 236.7000000 1607130
GAZP 60 20220505 130000 236.7000000 237.1400000 235.7000000 236.5400000 1114450
GAZP 60 20220505 140000 236.5300000 238.4400000 236.3000000 237.9200000 1312940
GAZP 60 20220505 150000 237.9200000 238.4000000 237.5000000 238.1500000 618230
GAZP 60 20220505 160000 238.0700000 238.4000000 237.9500000 237.9900000 710820
GAZP 60 20220505 170000 237.9600000 238.7900000 237.9500000 238.2900000 1160570
GAZP 60 20220505 180000 238.2700000 238.7400000 238.2700000 238.3800000 656130
GAZP 60 20220505 190000 238.3100000 238.7400000 238.2900000 238.6000000 1104440
GAZP 60 20220506 110000 238.5000000 238.5400000 235.1000000 236.7900000 3592300
GAZP 60 20220506 120000 236.7800000 238.0000000 236.2500000 236.6100000 1253170
GAZP 60 20220506 130000 236.6400000 238.5000000 236.5000000 237.3900000 1512770
GAZP 60 20220506 140000 237.3800000 237.5000000 236.5500000 236.9900000 637280
GAZP 60 20220506 150000 236.9000000 238.3300000 236.8500000 237.9700000 1071910
GAZP 60 20220506 160000 237.9700000 242.9200000 237.8200000 240.8800000 4496310
GAZP 60 20220506 170000 240.7400000 240.9200000 238.9900000 239.6100000 1656220
GAZP 60 20220506 180000 239.6100000 240.8900000 239.5000000 240.0400000 2217500
GAZP 60 20220506 190000 240.0400000 240.6500000 239.9800000 240.1000000 1532000
GAZP 60 20220511 110000 239.7700000 243.3500000 237.5800000 241.2200000 6354600
GAZP 60 20220511 120000 241.2200000 242.0400000 239.6000000 240.1300000 2558020
GAZP 60 20220511 130000 240.2200000 240.4700000 239.5200000 240.3200000 1583330
GAZP 60 20220511 140000 240.3800000 240.7700000 239.8000000 240.2700000 826770
GAZP 60 20220511 150000 240.2800000 240.7000000 239.9500000 239.9600000 482520
GAZP 60 20220511 160000 239.9600000 241.5000000 239.8500000 240.3200000 1524080
GAZP 60 20220511 170000 240.3100000 241.0500000 240.3000000 240.9000000 590150
GAZP 60 20220511 180000 240.9100000 242.3500000 240.7000000 241.7500000 1435670
GAZP 60 20220511 190000 241.8400000 242.4100000 241.5100000 241.9900000 1122700
GAZP 60 20220512 110000 241.8800000 241.8900000 238.1000000 240.3600000 3729140
GAZP 60 20220512 120000 240.2600000 240.5000000 239.1000000 239.9900000 1227460
GAZP 60 20220512 130000 239.9800000 240.5000000 239.6000000 240.1600000 615550
GAZP 60 20220512 140000 240.1600000 241.0000000 239.7000000 239.8800000 905410
GAZP 60 20220512 150000 239.9700000 240.0000000 239.7500000 239.9100000 342670
GAZP 60 20220512 160000 239.9300000 240.0700000 238.2300000 238.2900000 1623090
GAZP 60 20220512 170000 238.4100000 238.4600000 231.3100000 231.5000000 7122210
GAZP 60 20220512 180000 231.5100000 233.9300000 227.2200000 233.5000000 6849410
GAZP 60 20220512 190000 233.5000000 233.9300000 230.3000000 230.5600000 1982820
GAZP 60 20220513 110000 232.1200000 233.8900000 229.0200000 231.8000000 4461080
GAZP 60 20220513 120000 231.8600000 232.5000000 230.1900000 231.8700000 1148520
GAZP 60 20220513 130000 231.8700000 235.4800000 231.6500000 233.9400000 3944060
GAZP 60 20220513 140000 233.9900000 235.8600000 233.9900000 234.8800000 1318310
GAZP 60 20220513 150000 234.8800000 235.4000000 234.0100000 234.9000000 1301930
GAZP 60 20220513 160000 234.9000000 234.9800000 233.5000000 234.7700000 973430
GAZP 60 20220513 170000 234.6800000 235.1000000 234.3100000 234.9100000 793540
GAZP 60 20220513 180000 234.9200000 237.2000000 234.7300000 236.8500000 1959770
GAZP 60 20220513 190000 236.8400000 237.1500000 235.5100000 235.5200000 1391050
GAZP 60 20220516 110000 234.9900000 240.9200000 233.1100000 240.2000000 5490780
GAZP 60 20220516 120000 240.2100000 240.9000000 238.1000000 239.2400000 2205570
GAZP 60 20220516 130000 239.3400000 241.5000000 238.8500000 241.4300000 2116070
GAZP 60 20220516 140000 241.4300000 242.7900000 241.1800000 242.4700000 3086080
GAZP 60 20220516 150000 242.4700000 244.8000000 242.3500000 244.5200000 3323890
GAZP 60 20220516 160000 244.6600000 246.9500000 243.6500000 244.8000000 4753960
GAZP 60 20220516 170000 244.8700000 245.0000000 243.0000000 244.3300000 2801090
GAZP 60 20220516 180000 244.3000000 244.8900000 242.4500000 243.4500000 2549900
GAZP 60 20220516 190000 243.3000000 244.7000000 243.2500000 244.2000000 1895340
GAZP 60 20220517 110000 246.0200000 248.9600000 245.3000000 246.6900000 7434630
GAZP 60 20220517 120000 246.6900000 249.6800000 246.6000000 249.2700000 4972660
GAZP 60 20220517 130000 249.5000000 249.6300000 247.5000000 248.5200000 3480550
GAZP 60 20220517 140000 248.5400000 248.6900000 247.1500000 248.0100000 1585180
GAZP 60 20220517 150000 248.0500000 248.6700000 247.7000000 247.8000000 928210
GAZP 60 20220517 160000 247.7500000 248.3800000 247.1500000 247.5800000 3378040
GAZP 60 20220517 170000 247.5800000 259.3400000 247.1600000 258.9900000 24446170
GAZP 60 20220517 180000 258.9900000 260.0000000 255.3300000 256.8700000 9154000
GAZP 60 20220517 190000 256.8700000 259.1600000 256.1500000 258.8000000 4602120
GAZP 60 20220518 110000 261.0200000 268.8000000 261.0000000 268.5500000 18292680
GAZP 60 20220518 120000 268.5500000 269.4200000 267.0000000 268.6600000 7976720
GAZP 60 20220518 130000 268.6600000 268.8600000 265.0000000 266.3500000 5825170
GAZP 60 20220518 140000 266.3000000 267.9900000 266.0000000 267.6200000 2432910
GAZP 60 20220518 150000 267.6100000 267.6100000 265.1500000 266.0000000 2560100
GAZP 60 20220518 160000 266.0000000 267.5000000 265.5100000 266.1200000 1657900
GAZP 60 20220518 170000 266.1600000 267.3900000 265.0000000 265.2200000 3595140
GAZP 60 20220518 180000 265.2600000 265.8000000 262.0000000 264.7200000 5905160
GAZP 60 20220518 190000 264.7400000 265.5000000 263.0000000 264.8400000 2832170
GAZP 60 20220519 110000 268.0000000 269.7800000 262.6500000 265.5000000 9820040
GAZP 60 20220519 120000 265.5000000 268.4000000 265.2000000 266.7200000 4329330
GAZP 60 20220519 130000 266.6000000 266.8900000 265.1000000 265.8100000 1704170
GAZP 60 20220519 140000 265.9300000 267.0000000 265.5100000 265.7500000 1098620
GAZP 60 20220519 150000 265.8300000 266.2500000 265.0500000 265.1000000 1017360
GAZP 60 20220519 160000 265.1000000 266.4800000 265.0200000 265.5100000 1089290
GAZP 60 20220519 170000 265.5000000 266.9000000 265.4000000 266.0500000 1702330
GAZP 60 20220519 180000 266.1500000 267.5000000 266.0000000 266.9000000 1986370
GAZP 60 20220519 190000 266.9100000 267.2400000 266.0300000 266.6800000 2022410
GAZP 60 20220520 110000 268.4600000 268.9000000 265.5000000 265.6500000 6675420
GAZP 60 20220520 120000 265.7200000 266.0000000 261.2300000 263.1800000 6777990
GAZP 60 20220520 130000 263.1000000 264.6700000 263.0000000 263.3000000 1955310
GAZP 60 20220520 140000 263.2000000 264.0700000 262.3300000 263.1600000 1774590
GAZP 60 20220520 150000 263.1600000 263.2000000 260.4100000 260.7900000 3242020
GAZP 60 20220520 160000 260.8000000 262.7500000 260.6000000 262.2100000 2025210
GAZP 60 20220520 170000 262.1200000 262.8400000 260.8700000 262.3500000 1842380
GAZP 60 20220520 180000 262.3500000 262.5400000 261.1400000 262.0700000 1689810
GAZP 60 20220520 190000 262.0200000 263.0000000 261.4000000 263.0000000 1551830
GAZP 60 20220523 110000 265.4400000 273.0000000 263.7500000 268.7900000 12088080
GAZP 60 20220523 120000 268.8000000 269.0900000 267.0500000 267.8000000 3061210
GAZP 60 20220523 130000 267.7200000 268.3900000 264.1000000 264.5400000 3224600
GAZP 60 20220523 140000 264.5400000 265.8800000 263.3500000 264.7500000 2225180
GAZP 60 20220523 150000 264.7500000 266.6000000 264.0000000 264.4700000 2385620
GAZP 60 20220523 160000 264.4500000 265.4500000 263.5700000 264.2400000 1259170
GAZP 60 20220523 170000 264.2000000 265.8500000 263.1000000 264.6500000 2287570
GAZP 60 20220523 180000 264.6300000 265.0000000 263.5000000 263.6400000 1712550
GAZP 60 20220523 190000 263.6300000 264.8100000 263.0000000 263.0000000 2284460
GAZP 60 20220524 110000 262.9900000 264.2100000 256.1200000 261.5600000 9638970
GAZP 60 20220524 120000 261.4800000 261.5700000 257.3100000 258.2000000 4425150
GAZP 60 20220524 130000 258.2400000 259.6200000 256.0500000 256.1000000 3301960
GAZP 60 20220524 140000 256.1000000 256.1400000 250.4000000 253.3600000 9578770
GAZP 60 20220524 150000 253.3600000 259.8300000 252.5700000 257.8600000 7161460
